epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1827,2.23006,4.00319,2.53284,0.006,0.76868,0.03345,0.01543,1.55146,3.13745,1.9443,0.0671012,3.29317e-05,3.29317e-05
2,21.6813,2.13578,3.58306,2.43309,0.00622,0.79715,0.04231,0.02003,1.60007,3.16578,1.97121,0.0338006,6.56687e-05,6.56687e-05
3,31.2717,2.04136,3.47286,2.35411,0.00644,0.82562,0.05359,0.02468,1.57426,3.14509,1.94901,0.000499412,9.78056e-05,9.78056e-05
4,40.6662,1.92156,3.36382,2.26312,0.00658,0.84342,0.07372,0.03231,1.55789,3.08624,1.93561,9.73e-05,9.73e-05,9.73e-05
5,49.8607,1.89796,3.33671,2.21476,0.18869,0.09964,0.11805,0.04898,1.56439,3.00132,1.92827,9.64e-05,9.64e-05,9.64e-05
6,62.0236,1.83239,3.21695,2.16458,0.32343,0.07829,0.16876,0.0707,1.5957,2.91285,1.92917,9.55e-05,9.55e-05,9.55e-05
7,71.4939,1.82731,3.06941,2.09727,0.32878,0.27018,0.22549,0.09803,1.62422,2.74904,1.92647,9.46e-05,9.46e-05,9.46e-05
8,80.9176,1.83637,2.92605,2.09846,0.29748,0.34875,0.25561,0.1117,1.68012,2.60978,1.92918,9.37e-05,9.37e-05,9.37e-05
9,90.46,1.89213,2.75743,2.13254,0.35429,0.41787,0.30786,0.13917,1.70958,2.49471,1.9254,9.28e-05,9.28e-05,9.28e-05
10,99.7008,1.86177,2.70179,2.07571,0.37736,0.42349,0.33278,0.1525,1.70716,2.45519,1.91124,9.19e-05,9.19e-05,9.19e-05
11,109.225,1.81112,2.64971,2.04806,0.36473,0.44951,0.35499,0.16162,1.71982,2.40286,1.90461,9.1e-05,9.1e-05,9.1e-05
12,118.631,1.80803,2.5567,2.01422,0.40341,0.41281,0.36891,0.17151,1.68683,2.38472,1.88154,9.01e-05,9.01e-05,9.01e-05
13,127.973,1.80113,2.53234,2.02856,0.39024,0.43772,0.38343,0.18897,1.65278,2.32126,1.84403,8.92e-05,8.92e-05,8.92e-05
14,137.062,1.80575,2.49897,1.99463,0.38151,0.46318,0.38795,0.18528,1.69221,2.31717,1.88159,8.83e-05,8.83e-05,8.83e-05
15,146.288,1.74686,2.48631,1.93158,0.38995,0.48681,0.4088,0.1965,1.66959,2.27468,1.85602,8.74e-05,8.74e-05,8.74e-05
16,155.492,1.73806,2.39801,1.93815,0.4459,0.45822,0.4292,0.21092,1.64513,2.22828,1.82662,8.65e-05,8.65e-05,8.65e-05
17,164.747,1.75448,2.39166,1.97271,0.46374,0.45907,0.4453,0.21567,1.64644,2.23538,1.82627,8.56e-05,8.56e-05,8.56e-05
18,173.865,1.74396,2.36112,1.97983,0.49888,0.4306,0.44952,0.21523,1.62111,2.22172,1.80842,8.47e-05,8.47e-05,8.47e-05
19,182.989,1.70817,2.32037,1.89117,0.51986,0.4354,0.45754,0.22565,1.60624,2.19081,1.80595,8.38e-05,8.38e-05,8.38e-05
20,194.226,1.75458,2.32933,1.96696,0.57302,0.40569,0.47114,0.22826,1.61628,2.19429,1.80541,8.29e-05,8.29e-05,8.29e-05
21,203.339,1.72346,2.32136,1.92863,0.59384,0.41637,0.47448,0.23256,1.60026,2.17698,1.79074,8.2e-05,8.2e-05,8.2e-05
22,212.522,1.70704,2.31253,1.90094,0.48202,0.45196,0.47061,0.23411,1.59313,2.17606,1.79313,8.11e-05,8.11e-05,8.11e-05
23,221.975,1.69864,2.2446,1.90969,0.48398,0.47062,0.47926,0.2364,1.59254,2.14124,1.7866,8.02e-05,8.02e-05,8.02e-05
24,231.214,1.69907,2.25038,1.92207,0.54089,0.42345,0.47465,0.23524,1.5851,2.149,1.78718,7.93e-05,7.93e-05,7.93e-05
25,242.059,1.76506,2.27519,1.95251,0.47819,0.47687,0.47873,0.23489,1.58732,2.15356,1.78329,7.84e-05,7.84e-05,7.84e-05
26,251.218,1.70206,2.24932,1.91451,0.49448,0.47687,0.48534,0.24105,1.57698,2.13861,1.77771,7.75e-05,7.75e-05,7.75e-05
27,260.414,1.70569,2.21344,1.93335,0.4879,0.48147,0.48695,0.24055,1.57218,2.14062,1.76841,7.66e-05,7.66e-05,7.66e-05
28,269.475,1.69943,2.21319,1.92838,0.45359,0.49466,0.49026,0.23824,1.58395,2.13497,1.77016,7.57e-05,7.57e-05,7.57e-05
29,278.567,1.66921,2.2049,1.87987,0.52065,0.44128,0.48213,0.23878,1.57264,2.13523,1.76065,7.48e-05,7.48e-05,7.48e-05
30,287.541,1.62101,2.21952,1.84306,0.46429,0.5089,0.49479,0.2485,1.55503,2.12543,1.7564,7.39e-05,7.39e-05,7.39e-05
31,296.751,1.67763,2.20194,1.88929,0.57338,0.43416,0.49369,0.24803,1.55217,2.13896,1.74646,7.3e-05,7.3e-05,7.3e-05
32,305.965,1.62683,2.15646,1.87628,0.57516,0.42879,0.50278,0.25379,1.55012,2.11379,1.74764,7.21e-05,7.21e-05,7.21e-05
33,315.335,1.64547,2.13004,1.84187,0.45726,0.48871,0.49534,0.25225,1.56229,2.09611,1.75487,7.12e-05,7.12e-05,7.12e-05
